                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.55855,                0.85858,                0.45364,                0.92245,                0.90633,                0.93674,                0.96243,                0.84262,                0.93591,                0.91271,                0.96152,                0.83274,                0.60428,                0.96136,                0.42181,                0.93684,             0.00016757,             0.00016757,             0.00016757
                     81,                 0.5567,                0.84971,                0.45419,                0.92491,                0.94463,                 0.9126,                0.96186,                0.84571,                0.94504,                0.91297,                0.96118,                0.83513,                0.59351,                0.94723,                0.42123,                0.93322,             0.00015995,             0.00015995,             0.00015995
                     82,                0.55923,                0.84614,                0.44778,                0.92112,                0.93689,                0.91911,                0.96488,                 0.8443,                0.93928,                0.91994,                0.96565,                0.83266,                0.60057,                0.94936,                0.42194,                0.93381,             0.00015234,             0.00015234,             0.00015234
                     83,                0.55068,                0.84253,                0.44938,                0.92245,                0.92402,                0.91932,                0.96054,                0.84414,                0.92525,                0.91946,                0.96139,                0.83343,                0.59971,                0.95334,                0.44017,                0.93447,             0.00014473,             0.00014473,             0.00014473
                     84,                 0.5512,                0.84959,                0.44151,                0.92122,                 0.9194,                  0.941,                0.96202,                0.84704,                0.91352,                0.94415,                0.96093,                0.83473,                0.58997,                0.94768,                0.42079,                0.93026,             0.00013711,             0.00013711,             0.00013711
                     85,                0.54728,                0.85154,                0.44597,                0.92445,                0.92791,                 0.9246,                0.95995,                0.84578,                0.92717,                0.92974,                0.96123,                0.83167,                0.59685,                0.96995,                0.43428,                0.93479,              0.0001295,              0.0001295,              0.0001295
                     86,                 0.5515,                0.84346,                0.44226,                0.92019,                 0.9279,                0.93397,                0.96182,                0.84639,                0.92773,                0.93497,                0.96183,                0.83272,                0.59437,                 0.9407,                0.41991,                0.93099,             0.00012189,             0.00012189,             0.00012189
                     87,                0.54165,                0.84372,                0.43783,                0.91802,                0.92077,                0.93979,                0.96458,                0.84881,                0.92177,                0.94125,                  0.964,                0.83756,                0.59437,                0.94232,                0.43231,                0.93311,             0.00011427,             0.00011427,             0.00011427
                     88,                0.54456,                0.83853,                 0.4405,                0.92111,                0.91522,                 0.9424,                0.96501,                0.84664,                0.91551,                0.94352,                0.96221,                0.83815,                0.59889,                0.94044,                0.41801,                0.93659,             0.00010666,             0.00010666,             0.00010666
                     89,                0.54772,                0.85769,                0.44094,                0.92112,                0.92695,                 0.9339,                0.96224,                0.84536,                0.92736,                0.93427,                 0.9632,                0.83505,                0.59985,                0.93041,                0.42375,                0.93566,             9.9047e-05,             9.9047e-05,             9.9047e-05
